2025-05-08 11:26:01,422 - 172.20.5.20 (desconhecido) - GET / - 200 OK - 0.00s - 0.00s - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-08 11:26:01,689 - 172.20.5.20 (desconhecido) - GET /favicon.ico - 404 Not Found - 0.00s - 0.00s - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-08 11:32:58,733 - 172.20.5.20 (desconhecido) - GET / - 200 OK - 0.00s - 0.00s - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-08 11:33:00,119 - 172.20.5.20 (desconhecido) - GET / - 200 OK - 0.00s - 0.00s - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-08 11:33:00,779 - 172.20.5.20 (desconhecido) - GET / - 200 OK - 0.00s - 0.00s - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-08 11:33:01,229 - 172.20.5.20 (desconhecido) - GET / - 200 OK - 0.00s - 0.00s - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-08 11:33:01,588 - 172.20.5.20 (desconhecido) - GET / - 200 OK - 0.00s - 0.00s - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-08 11:33:02,225 - 172.20.5.20 (desconhecido) - GET / - 200 OK - 0.00s - 0.00s - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-08 11:33:02,829 - 172.20.5.20 (desconhecido) - GET / - 200 OK - 0.00s - 0.00s - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-08 11:33:03,525 - 172.20.5.20 (desconhecido) - GET / - 200 OK - 0.00s - 0.00s - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-08 11:33:05,417 - 172.20.5.20 (desconhecido) - GET / - 200 OK - 0.00s - 0.00s - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-08 11:33:09,070 - 172.20.5.20 (desconhecido) - GET / - 200 OK - 0.00s - 0.00s - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
2025-05-08 11:38:20,572 - 172.20.5.20 (desconhecido) - GET / - 200 OK - 0.00s - 0.00s - UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
